Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Proteger nuestras fuentes hídricas.,@RaymarkAClement,,7,10,7,781,https://twitter.com/RaymarkAClement/status/1788026724120232178,https://twitter.com/RaymarkAClement,"Estimado Alfonso: Discrepo de tu opinión, porque en #Panamá si hay leyes pero muchas veces la justicia anda manga por hombro y eso no necesariamente es culpa de los votantes que optaron por Mulino.

Con las protestas de Octubre y Noviembre del año pasado, los Panameños y el mundo…",5h,2024-05-08T02:02:45.000Z
John Smith  ( 100% salsa ),@johnSmith90x,,42,154,37,5 mil,https://twitter.com/johnSmith90x/status/1787256208920891545,https://twitter.com/johnSmith90x,"Votantes bananeros, sigan comiendo mierda. Que les quede claro, el que va a gobernar de seguir así los resultados, es el maleante que está en la embajada, el títere de Mulino solo fue un anzuelo y calleron como siempre",5 may.,2024-05-05T23:01:00.000Z
COWBOY SCOTT,@periodtchriz,"https://pbs.twimg.com/tweet_video_thumb/GM3kfckWUAAoI5z.jpg, https://pbs.twimg.com/tweet_video_thumb/GM3kfckWUAAoI5z.jpg, https://pbs.twimg.com/tweet_video_thumb/GM3kfckWUAAoI5z.jpg",50,330,12,16 mil,https://twitter.com/periodtchriz/status/1787340209098494013,https://twitter.com/periodtchriz,MULINO VA APROBAR LA UNIÓN CIVIL DEL MISMO SEXO!!!!,5 may.,2024-05-06T04:34:47.000Z
ECCM,@elsy_concepcion,"https://pbs.twimg.com/media/GM5CirwXoAAg14h?format=jpg&name=small, https://pbs.twimg.com/media/GM5CirwXoAAg14h?format=jpg&name=small",5,12,3,385,https://twitter.com/elsy_concepcion/status/1787510166004379996,https://twitter.com/elsy_concepcion,"¡BUENAS NOTICIAS! Otro triunfo conservador en Latinoamérica infectada por el marxismo. José Raúl MULINO es el nuevo Presidente de Panamá. Se une a Milei, Bolsonaro, Bukele y Trump como fuertes oponentes a la izquierda destructora en el hemisferio. ¡Bien hecho presidente Mulino!",6 may.,2024-05-06T15:50:08.000Z
Henoc,@rhsalrug,,87,527,7,12 mil,https://twitter.com/rhsalrug/status/1787245509377142917,https://twitter.com/rhsalrug,Cada voto que cuento de Mulino me rompe el corazón,5 may.,2024-05-05T22:18:29.000Z
Yamy Rivas,@YamyRivas,https://pbs.twimg.com/ext_tw_video_thumb/1787505840838045696/pu/img/1vPcJV4sUQu9cDQp.jpg,11,27,,1 mil,https://twitter.com/YamyRivas/status/1787583767315456228,https://twitter.com/YamyRivas,"Nayib Bukele es el primer mandatario que llamó al presidente electo, José Raúl Mulino, para felicitarlo por su victoria 
#Elecciones2024",6 may.,2024-05-06T20:42:36.000Z
El Viejo Orwin,@OrwinCC,,38,385,17,13 mil,https://twitter.com/OrwinCC/status/1786933364957520351,https://twitter.com/OrwinCC,"MÍ parley para mañana.

1. Lombana
2. Mulino
3. Roux
4. Gaby
5. Martín
6. Zulay
7. Maribel
8. Melitón",4 may.,2024-05-05T01:38:08.000Z
Juan Manuel Caballero Lopez,@juanm_caballero,,36,134,30,5 mil,https://twitter.com/juanm_caballero/status/1786732891675754970,https://twitter.com/juanm_caballero,"La Corte no fallo a favor de Mulino! Fallo en contra del Tribunal Electoral y su metida de Pata, tan nefasta que dejar correr a Mulino aunque inconstitucional era mejor que lo contrario, ESO es lo que dice el fallo! Ahora a corregir en la urna el domingo!
Gancho al 9!",4 may.,2024-05-04T12:21:31.000Z
Adelmino Rivera,@arivera2457,"https://pbs.twimg.com/media/GMp2ss3WcAAsLOO?format=jpg&name=small, https://pbs.twimg.com/media/GMp2ss3WcAAsLOO?format=jpg&name=small",58,91,33,4 mil,https://twitter.com/arivera2457/status/1786616527803822104,https://twitter.com/arivera2457,"Mulino masacro al
Pueblo, Bocatoreño, de San Félix y Colon y ya prometio darles palo si cierran una calle, qremos un asesino de presidente?",3 may.,2024-05-04T04:39:08.000Z
Maelvibe,@MaelVibe,,11,75,4,4 mil,https://twitter.com/MaelVibe/status/1787697669323760071,https://twitter.com/MaelVibe,Le man no fue silencioso nada. La gente andaba literal gritando por la calle que iban a votar a Martinelli/Mulino. Bájense del carro de vez en cuando.,6 may.,2024-05-07T04:15:12.000Z
