Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Metro Libre,@MetroLibrePTY,https://pbs.twimg.com/ext_tw_video_thumb/1787967292807991296/pu/img/FV_SNN7uR-stwWy6.jpg,10,22,32,7 mil,https://twitter.com/MetroLibrePTY/status/1787967438694342675,https://twitter.com/MetroLibrePTY,"""Soy un gordito sexy, no he perdido mi sensualidad"", dijo Alex Lee, quien rindió cuentas a los medios luego de perder la reelección como alcalde de Colón y como representante de Barrio Sur.
#MetroLibre",7 may.,2024-05-07T22:07:10.000Z
Ros 3xColon,@roselapatricia,"https://pbs.twimg.com/media/GNHg20LXsAA6u24?format=jpg&name=small, https://pbs.twimg.com/media/GNHg20LXsAA6u24?format=jpg&name=small",,7,,282,https://twitter.com/roselapatricia/status/1788457760704573467,https://twitter.com/roselapatricia,"No se olvide ee Colón!!!  Que acs estamos deseando con alma, vida y corazón sea 1 de julio!!!",9 may.,2024-05-09T06:35:32.000Z
Diario DiaaDia,@DiaaDiaPa,"https://pbs.twimg.com/ext_tw_video_thumb/1787184121468289024/pu/img/QlubgHl2d595nSp2.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787184121468289024/pu/img/QlubgHl2d595nSp2.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787184121468289024/pu/img/QlubgHl2d595nSp2.jpg",3,3,,1 mil,https://twitter.com/DiaaDiaPa/status/1787184166393778682,https://twitter.com/DiaaDiaPa,#ElPaísDD Votante en Colón se tomó una foto para enviársela a su jefe. Aquí las reacciones y emociones.,5 may.,2024-05-05T18:14:44.000Z
Diario Critica.Pa,@criticaenlinea,,6,12,,2 mil,https://twitter.com/criticaenlinea/status/1789725747973616043,https://twitter.com/criticaenlinea,"Cuarto detenido por homicidio de futbolista en Colón queda preso 
El imputado mantiene una condena vigente de 64 años de prisión, por el delito de posesión ilícita de arma de fuego.",14h,2024-05-12T18:34:04.000Z
La Estrella | Panamá,@EstrellaOnline,https://pbs.twimg.com/ext_tw_video_thumb/1787172887670947840/pu/img/a0aVHijSVRrXneGY.jpg,4,11,3,2 mil,https://twitter.com/EstrellaOnline/status/1787173045062291527,https://twitter.com/EstrellaOnline,"Declaraciones del candidato a vicepresidente por MOCA, Michael Chen, en el colegio Abel Bravo de Colón, Margarita. Video de Darine Waked. #LEPPolítica #Voto2024 #Panamá #Elecciones2024 #EleccionesPanamá",5 may.,2024-05-05T17:30:32.000Z
𝓜𝓻. 𝓢𝓽𝓪𝓹𝓵𝓮𝓼,@MrStaples_,,369,2 mil,202,77 mil,https://twitter.com/MrStaples_/status/1787468486035284232,https://twitter.com/MrStaples_,"Lista de vergüenzas nacionales:

Bocas del Toro
Los santos
Distrito distrito capital 
Colon
Las comarcas 
Darién
Veraguas 
Panama Oeste

No se que tienes sus habitantes en la cabeza

Un aplauso a San Miguelito que salió de esta lista, ya que sacó a la mayoría de sus ratas",6 may.,2024-05-06T13:04:31.000Z
Ailyn,@Ailynsalazarm,,7,3,,423,https://twitter.com/Ailynsalazarm/status/1786964406099706227,https://twitter.com/Ailynsalazarm,"Con temor de lo que estaremos viviendo en las próximas horas

Dios tome el control de nuestro país y futuro. 

No me decepciones Colón",4 may.,2024-05-05T03:41:29.000Z
CSSPanama,@CSSPanama,https://pbs.twimg.com/ext_tw_video_thumb/1787853395522420737/pu/img/1vGJjeciyjJ46F38.jpg,,3,,374,https://twitter.com/CSSPanama/status/1787853418125517052,https://twitter.com/CSSPanama,"""Vamos a iniciar este programa en las unidades de Panamá, Panamá Oeste y Colón"", aclaró la Dra. Harris. Se contempla extenderlo a todo el país, por lo que se realizará en primera instancia en hospitales y policlínicas de estas áreas.
Conoce más 
https://bit.ly/3UQiW7d",7 may.,2024-05-07T14:34:06.000Z
Francisco Jose ,@MrPakirri,,34,153,44,15 mil,https://twitter.com/MrPakirri/status/1787348335663186294,https://twitter.com/MrPakirri,"Michael Chen resulto ser un fiasco. Lombana perdió feamente en Colon y eso que su vice era de allá, no era que lo querían mucho en Colon?",6 may.,2024-05-06T05:07:05.000Z
La Estrella | Panamá,@EstrellaOnline,https://pbs.twimg.com/ext_tw_video_thumb/1787170969318047744/pu/img/I4sYkCs58vXuHUa5.jpg,1,9,2,3 mil,https://twitter.com/EstrellaOnline/status/1787171051731898540,https://twitter.com/EstrellaOnline,"El candidato a vicepresidente por MOCA, Michael Chen, llega al colegio Abel Bravo, en Margarita, Colón, para ejercer su derecho al voto junto al candidato a presidente Ricardo Lombana. Video de Darine Waked.
#LEPPolítica #Voto2024 #Panamá #Elecciones2024 #EleccionesPanamá",5 may.,2024-05-05T17:22:37.000Z
Fabián De Ycaza,@FdeYcaza24,,3,92,1,7 mil,https://twitter.com/FdeYcaza24/status/1789694809659130192,https://twitter.com/FdeYcaza24,"Gran reto tiene el actual alcalde de Colón mucha mafia, drugs y matadera en C-3 Dios le de la sabiduría para ayudar a esta provincia que está en abandono total",16h,2024-05-12T16:31:08.000Z
